Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
18013256275,"Apr 7, 2026, 11:52:43 AM",Coffee Walk w/ the girls 🐕‍🦺🚶‍♀️,Walk,"",6947,6.08,104.0,9,false,,,activities/19114078159.fit.gz,,,6947.0,5334.0,6082.8,1.72,1.14,57.0,63.0,0.6,16.0,25.2,-0.1,,,73.0,55.0,104.0,80.0,,,446.0,,,9.0,,,,,,,,,,,,,0.0,,1.0,,1775559600.0,3.0,9.1,10.3,6.7,0.85,1021.7,0.4,2.1,300.0,0.0,1775558614.0,1775604870.0,0.625,,,0.0,1.0,0.91,16827.0,0.0,,,,,,0.876,4040.8,,,,8272.0,0.0,,,,,,,0.0,0.0,,,,0.0,,,,""
18005082058,"Apr 6, 2026, 8:28:28 PM",Afternoon Walk in Yorktown,Walk,"",2677,1.62,95.0,2,false,,,activities/19105772125.fit.gz,,,2677.0,1638.0,1625.3,4.02,0.992,17.0,18.0,0.4,17.8,13.1,0.0,,,61.0,53.0,95.0,73.0,,,129.0,,,2.0,,,,,,,,,,,,,0.0,,1.0,,1775505600.0,3.0,16.9,16.1,1.3,0.35,1019.3,1.7,4.4,297.0,0.0,1775472256.0,1775518399.0,0.625,,,0.0,1.0,0.84,48109.0,3.0,,,,,,0.607,0.0,,,,2158.0,0.0,,,,,,,0.0,0.0,,,,0.0,,,,media/C5C13E2D-2D09-4DAC-BEC0-A082B44E80B8.jpg|media/9FDF6B1E-7B06-40B0-958B-BA32077FD969.jpg|media/4638143D-3AA8-40D2-BAD2-D8B227AA9C88.jpg
18004429564,"Apr 6, 2026, 7:33:59 PM",Afternoon Walk,Walk,,709,0.54,104.0,0,false,,,activities/19105115949.fit.gz,,,709.0,512.0,539.6,4.66,1.054,1.0,1.0,4.0,6.6,2.2,-0.1,,,75.0,51.0,104.0,68.0,,,38.0,,,0.0,,,,,,,,,,,,,0.0,,1.0,,1775502000.0,3.0,16.7,14.9,0.4,0.33,1019.8,2.6,6.0,279.0,0.0,1775472316.0,1775518454.0,0.625,,,0.0,1.0,0.85,50277.0,4.0,,,,,,0.761,0.0,,,,560.0,0.0,,,,,,,,,,,,,,,,""
18004288824,"Apr 6, 2026, 7:13:43 PM",Jamestown,Walk,"",793,0.65,89.0,1,false,,,activities/19104973465.fit.gz,,,793.0,650.0,651.9,1.561,1.003,1.0,2.0,-0.4,3.4,12.2,0.2,,,57.0,52.0,89.0,77.0,,,49.0,,,1.0,,,,,,,,,,,,,0.0,,1.0,,1775502000.0,3.0,16.7,14.9,0.4,0.33,1019.8,2.6,6.0,279.0,0.0,1775472316.0,1775518454.0,0.625,,,0.0,1.0,0.85,50277.0,4.0,,,,,,0.822,0.0,,,,802.0,0.0,,,,,,,0.0,0.0,,,,0.0,,,,media/8571705E-087C-4DF4-8B78-0FE4446E4867.jpg|media/57F23899-0C13-49BA-AB3D-0135A179657B.jpg
17999583889,"Apr 6, 2026, 11:01:13 AM",Cruise along the James River,Ride,"",7360,48.43,150.0,84,false,,CFR,activities/19100212857.fit.gz,,7.394,7360.0,6529.0,48437.2,12.86,7.419,150.0,168.0,-13.2,25.0,9.7,0.0,,,,,150.0,136.0,,129.0,1579.0,,5.0,84.0,,,,,,,,,,,,,0.0,,1.0,,1775473200.0,1.0,8.5,5.1,2.7,0.67,1020.3,3.3,5.4,353.0,0.0,1775472300.0,1775518417.0,0.625,14320364.0,,0.0,1.0,0.1,27290.0,0.0,,,,,,6.581,306.3,,,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,,media/B83879CC-A1C0-448B-8B98-3AEEBC56C316.jpg|media/986C6869-796B-4737-8321-7AFAEA3CA916.jpg|media/24F248FF-708D-4762-92F0-2541683B511F.jpg|media/C0EBD8FF-DB29-422F-8C5B-64AFDC533578.jpg|media/9F4C0870-2590-4AB2-88D4-00DAB7AB3E3B.jpg
17977088163,"Apr 4, 2026, 11:27:07 AM",Morning Ride,Ride,"",15840,94.18,205.0,307,false,"",CFR,activities/19077466747.fit.gz,,7.394,15840.0,13466.0,94185.1,22.84,6.994,1050.0,1064.0,77.8,213.6,17.9,0.0,,,104.0,79.0,205.0,146.0,,15.0,3556.0,,21.0,307.0,205334.0,,,,,,,,93.0,13715.0,0.0,,0.0,,1.0,,1775300400.0,1.0,17.8,15.9,14.1,0.79,1021.2,3.2,6.9,213.0,0.0,1775299937.0,1775345907.0,0.625,14320364.0,,0.0,1.0,0.14,21321.0,0.0,,,,,,5.946,0.0,,,,,0.0,,73.0,44.0,,,,0.0,0.0,,,,0.0,,,,""
17966283624,"Apr 3, 2026, 6:51:07 PM",Afternoon Walk,Walk,"",1131,0.93,92.0,1,false,,,activities/19066549635.fit.gz,,,1131.0,865.0,929.0,1.536,1.074,1.0,0.0,0.8,3.6,7.3,0.3,,,56.0,52.0,92.0,79.0,,,74.0,,,1.0,,,,,,,,,,,,,0.0,,1.0,,1775239200.0,2.0,23.4,22.8,16.0,0.63,1022.7,4.5,10.2,207.0,0.0,1775213380.0,1775259230.0,0.625,,,0.0,1.0,0.45,23937.0,6.0,,,,,,0.821,244.1,,,,1394.0,0.0,,,,,,,0.0,0.0,,,,0.0,,,,media/4B96954B-BD5A-4DDF-A895-42542AADB852.jpg|media/B3ADD1CA-26D8-4E2C-AA29-AA8258B46B6D.jpg
17922636578,"Mar 31, 2026, 9:18:19 AM",Pioneer -3,Ride,"",3600,33.40,146.0,35,false,,ZRide,activities/19022614698.tcx.gz,,18.144,3600.0,3600.0,33402.1,9.74,9.278,0.0,0.0,0.0,0.0,0.0,0.0,,,94.0,89.0,146.0,132.0,,143.0,506.0,,,35.0,,,,,,,,,146.0,3601.0,,,0.0,,1.0,,,,,,,,,,,,,,,,16925543.0,,,,,,,,,,,,9.278,0.0,,,,,0.0,,47.0,69.0,,,,0.0,0.0,,,,0.0,,,,media/bc8ddc13-2657-45a6-999f-53807cc547fa.jpg
17901546453,"Mar 29, 2026, 10:57:20 AM",Morning Ride,Ride,"",10139,61.49,169.0,195,false,,Brooklyn ,activities/19001317202.fit.gz,,7.348,10139.0,9611.0,61489.0,13.76,6.398,937.0,937.0,8.6,105.4,17.2,0.0,,,107.0,82.0,169.0,144.0,,155.0,1720.0,,3.0,195.0,1485530.0,,,,,,,,177.0,10140.0,,,0.0,,1.0,,1774778400.0,1.0,-0.4,-1.3,-5.2,0.7,1035.3,1.4,2.8,80.0,0.0,1774781104.0,1774826284.0,0.375,12333719.0,,0.0,1.0,0.14,28264.0,0.0,,,,,,6.065,710.7,,,,,0.0,,194.0,83.0,,,,0.0,0.0,,,,0.0,,,,""
17889322516,"Mar 28, 2026, 1:15:09 PM",Cumberland -3,Ride,"",4500,42.58,152.0,87,false,,ZRide,activities/18988943639.tcx.gz,,18.144,4500.0,4500.0,42580.4,9.84,9.462,0.0,0.0,0.0,0.0,0.0,0.0,,,96.0,91.0,152.0,141.0,,145.0,644.0,,,87.0,,,,,,,,,148.0,4501.0,,,0.0,,1.0,,,,,,,,,,,,,,,,16925543.0,,,,,,,,,,,,9.462,0.0,,,,,0.0,,59.0,69.0,,,,0.0,0.0,,,,0.0,,,,media/a031d3aa-7d99-40bf-afd6-ef4260b9075f.jpg
17851073216,"Mar 25, 2026, 9:19:16 AM",West Vidette,Ride,"",2700,25.25,141.0,21,false,,ZRide,activities/18950556511.tcx.gz,,18.144,2700.0,2700.0,25253.0,9.74,9.353,0.0,0.0,0.0,0.0,0.0,0.0,,,95.0,90.0,141.0,128.0,,140.0,370.0,,,21.0,,,,,,,,,143.0,2701.0,,,0.0,,1.0,,,,,,,,,,,,,,,,16925543.0,,,,,,,,,,,,9.353,0.0,,,,,0.0,,33.0,67.0,,,,0.0,0.0,,,,0.0,,,,media/ac314528-282e-403c-aa10-41933219cc43.jpg
17838096579,"Mar 24, 2026, 9:19:15 AM",Pioneer -3,Ride,"",3600,33.65,144.0,38,false,,ZRide,activities/18937543295.tcx.gz,,18.144,3600.0,3600.0,33650.8,9.74,9.347,0.0,0.0,0.0,0.0,0.0,0.0,,,95.0,90.0,144.0,134.0,,143.0,508.0,,,38.0,,,,,,,,,146.0,3601.0,,,0.0,,1.0,,,,,,,,,,,,,,,,16925543.0,,,,,,,,,,,,9.347,0.0,,,,,0.0,,47.0,69.0,,,,0.0,0.0,,,,0.0,,,,media/4a33f0f9-b86f-4374-9dbf-9684f15b0543.jpg
17816772565,"Mar 22, 2026, 11:27:53 AM",Morning Ride,Ride,"",9709,73.02,168.0,252,false,,Brooklyn ,activities/18916081101.fit.gz,,7.348,9709.0,9016.0,73027.9,16.72,8.1,492.0,493.0,3.0,71.4,14.6,0.0,,,108.0,84.0,168.0,151.0,,172.0,1763.0,,8.0,252.0,1539790.0,,,,,,,,182.0,9666.0,,,0.0,,1.0,,1774177200.0,3.0,5.6,3.8,2.6,0.81,1013.1,2.7,3.6,150.0,0.0,1774176989.0,1774221050.0,0.125,12333719.0,,0.7,5.0,0.8,20107.0,0.0,,,,,,7.522,1257.5,,,,,0.0,,195.0,85.0,,,,0.0,0.0,,,,0.0,,,,""
17802913693,"Mar 21, 2026, 11:19:01 AM",Mechanical Shortened Morning Ride,Ride,"",7243,40.59,164.0,112,false,"",Frankenbike ,activities/18902050370.fit.gz,,7.257,7243.0,5891.0,40597.6,14.76,6.891,400.0,425.0,3.6,103.4,11.5,-0.1,,,106.0,86.0,164.0,142.0,,139.0,951.0,,10.0,112.0,813873.0,,,,,,,,155.0,6707.0,0.0,,0.0,,1.0,,1774090800.0,1.0,8.5,7.6,7.3,0.92,1009.0,1.7,4.2,300.0,0.0,1774090694.0,1774134594.0,0.125,16818783.0,,0.54,5.0,0.29,12976.0,0.0,,,,,,5.605,1614.5,,,,,0.0,,98.0,73.0,,,,0.0,0.0,,,,0.0,,,,""
17772115447,"Mar 18, 2026, 8:42:05 PM",Carter,Ride,"",2700,25.64,146.0,30,false,,ZRide,activities/18871032294.tcx.gz,,18.144,2700.0,2700.0,25646.7,10.28,9.499,0.0,0.0,0.0,0.0,0.0,0.0,,,100.0,91.0,146.0,133.0,,141.0,375.0,,,30.0,,,,,,,,,143.0,2701.0,,,0.0,,1.0,,,,,,,,,,,,,,,,16925543.0,,,,,,,,,,,,9.499,0.0,,,,,0.0,,31.0,65.0,,,,0.0,0.0,,,,0.0,,,,media/382ae482-585a-4403-aa87-344f48b78fc0.jpg
17759912377,"Mar 17, 2026, 8:55:08 PM",Iron Mountain,Ride,"",3600,34.11,170.0,47,false,,ZRide,activities/18858782810.tcx.gz,,18.144,3600.0,3600.0,34118.9,11.18,9.477,0.0,0.0,0.0,0.0,0.0,0.0,,,139.0,92.0,170.0,136.0,,131.0,439.0,,,47.0,,,,,,,,,167.0,3601.0,,,0.0,,1.0,,,,,,,,,,,,,,,,16925543.0,,,,,,,,,,,,9.477,0.0,,,,,0.0,,57.0,76.0,,,,0.0,0.0,,,,0.0,,,,media/a9e65113-6e51-42e9-885c-ad0aee8ebb49.jpg
17736295488,"Mar 15, 2026, 7:33:34 PM",Aurora,Ride,"",3600,33.11,140.0,31,false,,ZRide,activities/18835087932.tcx.gz,,18.144,3600.0,3600.0,33116.9,9.74,9.199,0.0,0.0,0.0,0.0,0.0,0.0,,,94.0,88.0,140.0,129.0,,129.0,460.0,,,31.0,,,,,,,,,130.0,3601.0,,,0.0,,1.0,,,,,,,,,,,,,,,,16925543.0,,,,,,,,,,,,9.199,0.0,,,,,0.0,,34.0,59.0,,,,0.0,0.0,,,,0.0,,,,media/428d2eb9-e498-47fe-aa71-0076ee8a2086.jpg
17721540731,"Mar 14, 2026, 1:05:30 PM",Warrenton to Remington Loop w/Steve x 2,Ride,"",11737,80.69,,,false,,CFR,activities/18820172357.fit.gz,,7.394,11737.0,9899.0,80697.6,15.6,8.152,662.0,681.0,64.6,196.6,15.9,0.0,,,104.0,79.0,,,,179.0,1977.0,,11.0,,1789041.0,,,,,,,,195.0,10707.0,,,0.0,,1.0,,1773493200.0,3.0,7.4,5.5,-2.9,0.48,1018.9,2.6,4.4,303.0,0.0,1773487436.0,1773530249.0,0.875,14320364.0,,0.0,1.0,0.73,48604.0,1.0,,,,,,6.875,1470.7,,,,,0.0,,230.0,88.0,,,,0.0,0.0,,,,0.0,,,,""
17702507972,"Mar 12, 2026, 9:29:24 PM",TNR 💨💨,Ride,Wooof that was 💨💨,5322,41.14,,,false,,CFR,activities/18801003115.fit.gz,,7.394,5322.0,5235.0,41148.2,15.24,7.86,322.0,327.0,72.6,141.2,10.5,0.0,,,101.0,83.0,,,,193.0,1127.0,,3.0,,1007002.0,,,,,,,,202.0,5323.0,,,0.0,,1.0,,1773349200.0,1.0,7.6,5.0,-2.2,0.5,1015.9,4.9,5.7,322.0,0.0,1773314869.0,1773357387.0,0.875,14320364.0,,0.98,6.0,0.13,33276.2,1.0,,,,,,7.732,1394.7,,,,,0.0,,122.0,91.0,,,,0.0,0.0,,,,0.0,,,,""
17670154073,"Mar 10, 2026, 9:18:55 AM",Beech,Ride,"",3600,33.04,150.0,38,false,,ZRide,activities/18768531658.tcx.gz,,18.144,3600.0,3600.0,33039.6,9.74,9.178,0.0,0.0,0.0,0.0,0.0,0.0,,,93.0,88.0,150.0,131.0,,148.0,529.0,,,38.0,,,,,,,,,150.0,3601.0,,,0.0,,1.0,,,,,,,,,,,,,,,,16925543.0,,,,,,,,,,,,9.178,0.0,,,,,0.0,,46.0,68.0,,,,0.0,0.0,,,,0.0,,,,media/9b4ab20f-2ad0-4f5a-a546-a8b8e584d41e.jpg
17648168078,"Mar 8, 2026, 11:46:17 AM",Collins -1,Ride,"",4500,42.37,143.0,45,false,,ZRide,activities/18746383167.tcx.gz,,18.144,4500.0,4500.0,42375.4,9.74,9.417,0.0,0.0,0.0,0.0,0.0,0.0,,,95.0,91.0,143.0,132.0,,134.0,600.0,,,45.0,,,,,,,,,135.0,4501.0,,,0.0,,1.0,,,,,,,,,,,,,,,,16925543.0,,,,,,,,,,,,9.417,0.0,,,,,0.0,,46.0,61.0,,,,0.0,0.0,,,,0.0,,,,media/4b9aa465-d12a-4cdd-8dac-fa0dbb22c3c5.jpg
17636752761,"Mar 7, 2026, 11:58:37 AM",Morning Ride,Ride,"",9124,59.63,172.0,248,false,"",CFR,activities/18734849396.fit.gz,,7.394,9124.0,8498.0,59629.0,15.12,7.017,648.0,634.0,31.4,129.4,19.5,0.0,,,105.0,83.0,172.0,152.0,,172.0,2383.0,,-1.0,248.0,1452669.0,,,,,,,,186.0,9125.0,0.0,,0.0,,1.0,,1772881200.0,3.0,2.1,2.6,1.1,0.93,1025.7,1.4,3.7,126.0,0.0,1772882433.0,1772924080.0,0.625,14320364.0,,0.0,1.0,0.99,5277.0,0.0,,,,,,6.535,1518.2,,,,,0.0,,179.0,84.0,,,,0.0,0.0,,,,0.0,,,,""
17598799896,"Mar 4, 2026, 10:12:55 AM",Birch,Ride,"",2700,25.71,145.0,25,false,,ZRide,activities/18696722352.tcx.gz,,18.144,2700.0,2700.0,25715.8,10.0,9.524,0.0,0.0,0.0,0.0,0.0,0.0,,,96.0,92.0,145.0,131.0,,144.0,377.0,,,25.0,,,,,,,,,148.0,2701.0,,,0.0,,1.0,,,,,,,,,,,,,,,,16925543.0,,,,,,,,,,,,9.524,0.0,,,,,0.0,,33.0,67.0,,,,0.0,0.0,,,,0.0,,,,media/199c31a5-5acb-4644-8bda-36169a595b2e.jpg
17586342802,"Mar 3, 2026, 10:21:47 AM",Goat Citadel,Ride,"",3600,34.63,163.0,55,false,,ZRide,activities/18684226253.tcx.gz,,18.144,3600.0,3600.0,34629.7,10.84,9.619,0.0,0.0,0.0,0.0,0.0,0.0,,,134.0,92.0,163.0,138.0,,138.0,474.0,,,55.0,,,,,,,,,168.0,3601.0,,,0.0,,1.0,,,,,,,,,,,,,,,,16925543.0,,,,,,,,,,,,9.619,0.0,,,,,0.0,,57.0,76.0,,,,0.0,0.0,,,,0.0,,,,media/a3e9b8b3-811a-4b01-8f60-76314fffacc7.jpg
17565125871,"Mar 1, 2026, 12:26:50 PM",Baxter -1,Ride,"",4500,42.09,148.0,53,false,,ZRide,activities/18662870199.tcx.gz,,18.144,4500.0,4500.0,42098.9,9.9,9.355,0.0,0.0,0.0,0.0,0.0,0.0,,,95.0,90.0,148.0,134.0,,140.0,610.0,,,53.0,,,,,,,,,142.0,4501.0,,,0.0,,1.0,,,,,,,,,,,,,,,,16925543.0,,,,,,,,,,,,9.355,0.0,,,,,0.0,,51.0,64.0,,,,0.0,0.0,,,,0.0,,,,media/6deaa0a7-02d6-48a9-99a8-23dcebb5016e.jpg
17554787182,"Feb 28, 2026, 2:58:20 PM",Rich Hole,Ride,"",4500,42.21,156.0,74,false,,ZRide,activities/18652408832.tcx.gz,,18.144,4500.0,4500.0,42216.9,10.1,9.382,0.0,0.0,0.0,0.0,0.0,0.0,,,98.0,90.0,156.0,139.0,,137.0,612.0,,,74.0,,,,,,,,,140.0,4501.0,,,0.0,,1.0,,,,,,,,,,,,,,,,16925543.0,,,,,,,,,,,,9.382,0.0,,,,,0.0,,49.0,63.0,,,,0.0,0.0,,,,0.0,,,,""
17484020786,"Feb 22, 2026, 12:21:39 PM",Brasstown -1,Ride,"",5400,51.21,144.0,63,false,,ZRide,activities/18581325803.tcx.gz,,18.144,5400.0,5400.0,51216.7,9.94,9.485,0.0,0.0,0.0,0.0,0.0,0.0,,,96.0,91.0,144.0,135.0,,129.0,691.0,,,63.0,,,,,,,,,130.0,5401.0,,,0.0,,1.0,,,,,,,,,,,,,,,,16925543.0,,,,,,,,,,,,9.485,0.0,,,,,0.0,,52.0,59.0,,,,0.0,0.0,,,,0.0,,,,media/1fbd0c40-f6a5-4086-90fc-3d9eab820f65.jpg
